strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
KJ501532	2012-08-21	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501533	2012-08-24	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501534	2011-08-25	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501535	2011-09-27	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501536	2011-08-26	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501537	2011-07-27	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501538	2011-07-26	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501539	2011-09-23	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ786934	2001-08-01	USA	NY	NY	Human	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012170	2012-08-01	USA	AZ	AZ	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012171	2012-08-01	USA	MS	MS	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012172	2012-08-01	USA	TX	TX	Human	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012173	2012-08-01	USA	SD	SD	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012174	2012-08-01	USA	AZ	AZ	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012175	2012-08-01	USA	CA	CA	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012176	2012-08-01	USA	NC	NC	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012177	2012-08-01	USA	WY	WY	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012178	2012-08-01	USA	TX	TX	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012179	2012-08-01	USA	SD	SD	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012180	2012-08-01	USA	GA	GA	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012181	2012-08-01	USA	LA	LA	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012182	2012-08-01	USA	NM	NM	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012183	2012-08-01	USA	TX	TX	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012184	2012-08-01	USA	OH	OH	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KM012185	2012-08-01	USA	NE	NE	Human	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
